model,vs_baseline,loss,dm_statistic,p_value,mean_loss_diff,better,n_obs,note
cnn,zero,squared,2.63449433708702,0.008444288194474282,0.0009029408681388635,b,7209,
cnn_per_asset,zero,squared,3.1639801374314267,0.0015627428984613192,0.0014332668898635586,b,7209,
dlinear,zero,squared,11.413696932658738,6.447640093899688e-30,0.01931267588530432,b,7209,
dlinear_per_asset,zero,squared,13.260106041054113,1.1464119603683771e-39,0.029933164950876376,b,7209,
historical_mean,zero,squared,24.416450838177614,1.4161827548382896e-126,0.09044272634323455,b,7209,
lstm,zero,squared,1.2957332054329902,0.19510890798028255,0.0005861156389601972,b,7209,
lstm_per_asset,zero,squared,0.6236389197753268,0.5328844785911263,0.0003078146979035656,b,7209,
majority_class,zero,squared,3.744296587790791,0.00018230878298236664,0.0004245138892455104,b,7209,
persistence,zero,squared,23.23144102342304,3.43922074323594e-115,0.06524241234502201,b,7209,
