model,vs_baseline,loss,dm_statistic,p_value,mean_loss_diff,better,n_obs,note
egarch11,vol_climatology,qlike,-7.188078432292306,7.230820129986959e-13,-0.24795399759616818,a,7209,
egarch11_mz,vol_climatology,qlike,-6.71086808447274,2.0815053536566362e-11,-0.22861439471488906,a,7209,
garch11,vol_climatology,qlike,-6.122232568244297,9.711314133650442e-10,-0.2381972972132643,a,7209,
garch11_mz,vol_climatology,qlike,-6.22143543856837,5.201816215184608e-10,-0.24083311871731392,a,7209,
vol_persistence,vol_climatology,qlike,2.3046310420233485,0.021215529612351534,0.13333050915128372,b,7209,
