model,vs_baseline,dm_statistic,p_value,mean_loss_diff,better,n_obs,note
cnn,zero,3.6649712020704115,0.0002487435095343959,0.0012344308942184026,b,9299,
dlinear,zero,11.445754649352986,3.928017619185429e-30,0.015537741287882392,b,9299,
historical_mean,zero,28.203081345096866,5.481078194385714e-168,0.09362706245688178,b,9299,
lstm,zero,1.2752733023501388,0.20224438625363758,0.0004485933687862723,b,9299,
majority_class,zero,4.33660603791264,1.4622524789027558e-05,0.0004478003969425562,b,9299,
persistence,zero,25.784576728957624,1.1580105643855797e-141,0.06541932192988092,b,9299,
