model,vs_baseline,dm_statistic,p_value,mean_loss_diff,better,n_obs,note
arima,zero,4.716637597782261,2.4326680440823254e-06,0.0008338656326780971,b,9299,
historical_mean,zero,28.203081345096866,5.481078194385714e-168,0.09362706245688178,b,9299,
lightgbm,zero,-0.034579103946523325,0.9724161064316084,-1.4415140875682307e-05,a,9299,
majority_class,zero,4.33660603791264,1.4622524789027558e-05,0.0004478003969425562,b,9299,
persistence,zero,25.784576728957624,1.1580105643855797e-141,0.06541932192988092,b,9299,
ridge,zero,3.2719030112417316,0.0010721571587111018,0.002007804748814058,b,9299,
