model,asset,vs_baseline,loss,dm_statistic,p_value,mean_loss_diff,better,n_obs,note
arima,BTC,zero,squared,2.386757602418929,0.017074660493778426,0.00039402528490387924,b,2403,
historical_mean,BTC,zero,squared,12.579842695114989,3.4191759681718214e-35,0.07447039673243126,b,2403,
lightgbm,BTC,zero,squared,-0.5394698907436943,0.5896126688939991,-0.0004605883601346771,a,2403,
lightgbm_per_asset,BTC,zero,squared,0.3769436422078279,0.7062487845870359,0.0003202868923507767,b,2403,
majority_class,BTC,zero,squared,2.7851896910750873,0.005391604455796374,0.0005467816958187155,b,2403,
persistence,BTC,zero,squared,12.24237392398931,1.795632398005298e-33,0.051494770194577794,b,2403,
ridge,BTC,zero,squared,1.7277960852549192,0.08415332176596167,0.0020585511483871602,b,2403,
ridge_per_asset,BTC,zero,squared,0.17897014180315446,0.8579762404359073,0.0001510810212563987,b,2403,
arima,ETH,zero,squared,2.9113795497277244,0.003631516155961491,0.0005632668846058957,b,2403,
historical_mean,ETH,zero,squared,14.747057087736238,3.489411714289062e-47,0.10231169970011768,b,2403,
lightgbm,ETH,zero,squared,0.4539536452001465,0.649903203673186,0.00041535860740803907,b,2403,
lightgbm_per_asset,ETH,zero,squared,0.6636867722260889,0.5069545008329392,0.0006463753790504102,b,2403,
majority_class,ETH,zero,squared,2.4248824645951155,0.015386646145221988,0.0004761721719907172,b,2403,
persistence,ETH,zero,squared,13.830152277231107,6.484635713692587e-42,0.07017153349249969,b,2403,
ridge,ETH,zero,squared,1.7119767389040816,0.08703003541743659,0.0022494101535138916,b,2403,
ridge_per_asset,ETH,zero,squared,0.6726335811267886,0.5012451321610188,0.000756504171248345,b,2403,
arima,LTC,zero,squared,2.7037525638961357,0.006904456938421351,0.0004188938072483636,b,2403,
historical_mean,LTC,zero,squared,14.916737145170794,3.4432564520111105e-48,0.09454608259715469,b,2403,
lightgbm,LTC,zero,squared,-0.7027000940021381,0.48231076278485996,-0.0006238704045525858,a,2403,
lightgbm_per_asset,LTC,zero,squared,0.5236542588157393,0.6005673436131035,0.0005346997725313265,b,2403,
majority_class,LTC,zero,squared,1.2754901319886396,0.2022591547629815,0.0002505877999270983,b,2403,
persistence,LTC,zero,squared,14.137114506940863,1.2004045406043842e-43,0.07406093334798855,b,2403,
ridge,LTC,zero,squared,0.47695172507786576,0.6334398862175445,0.0005728337868938907,b,2403,
ridge_per_asset,LTC,zero,squared,1.1074645253460367,0.2682040287753125,0.001371874679904458,b,2403,
