feature,gain,model,fold
xa_corr_ref_30,0.011503687786969459,ridge,1
vol_log1p_quote_volume,0.011173834234985943,ridge,1
vol_qv_median_ratio_63,0.010728819874678502,ridge,1
px_cumret_7,0.010078039589457364,ridge,1
px_ret_std_5,0.010004627867342889,ridge,1
cal_dow_sin,0.009907234306275645,ridge,1
px_ret_std_10,0.009554884747150872,ridge,1
px_dist_max_63,0.00906160177107837,ridge,1
vol_taker_buy_ratio_mean_7,0.008888405569225528,ridge,1
vol_log1p_volume,0.008694977260861377,ridge,1
px_ret_kurt_21,0.007968700066395516,ridge,1
tech_stoch_k_14,0.007719504040116776,ridge,1
aux_splycur_z63,0.007356732238253698,ridge,1
px_ret_3,0.007115740709017486,ridge,1
xa_rel_strength_7,0.0070971342524294235,ridge,1
xa_ref_vol_21,0.006611089814996569,ridge,1
vol_trades_zscore_21,0.006467731489708048,ridge,1
cal_moy_cos,0.006181302989783009,ridge,1
px_cumret_30,0.006180738852060679,ridge,1
rng_tr_norm,0.006136001993650569,ridge,1
xa_ref_ret_mean_5,0.006135719802150901,ridge,1
aux_adractcnt_chg_7,0.0060932453889965005,ridge,1
aux_fng,0.006090409983482676,ridge,1
tech_obv_zscore_21,0.005665076956529699,ridge,1
aux_txcnt_chg_7,0.005547363543836987,ridge,1
vol_ret_corr_21,0.005434455909311382,ridge,1
aux_fng_chg_7,0.005236160720131156,ridge,1
px_ret_std_21,0.005018294419192631,ridge,1
px_dist_min_63,0.00446686831373486,ridge,1
tech_stoch_d_14,0.004350709710711631,ridge,1
rng_cc_parkinson_ratio_21,0.003398445590069684,ridge,1
tech_macd_hist_norm,0.0033450781510662654,ridge,1
px_ret_mean_63,0.003287083297335987,ridge,1
tech_macd_line_norm,0.003160811704700018,ridge,1
px_cumret_90,0.003038181964878087,ridge,1
rng_parkinson_21,0.0028182110523983232,ridge,1
tech_macd_signal_norm,0.0023290973332323046,ridge,1
vol_taker_buy_ratio,0.0021993103791218787,ridge,1
vol_taker_buy_ratio_dev,0.0021993103791218705,ridge,1
rng_intraday,0.002131301991470383,ridge,1
px_ret_5,0.001849056580941968,ridge,1
px_ret_mean_5,0.0018490565809419462,ridge,1
cal_dom_sin,0.0014421290125308528,ridge,1
rng_garman_klass_21,0.0013159517363618577,ridge,1
tech_rsi_14,0.0012529597821322623,ridge,1
px_dist_min_21,0.0010673333292632876,ridge,1
px_ret_21,0.0007581147887560191,ridge,1
px_ret_mean_21,0.0007581147887560138,ridge,1
xa_market_dispersion,0.0007446248707427275,ridge,1
tech_bb_pos_20,0.0003772561488079167,ridge,1
xa_market_ret_mean_5,0.0002824159723956961,ridge,1
px_ret_1,0.16058136146970792,ridge,2
cal_dow_cos,0.1379961204343829,ridge,2
rng_garman_klass_5,0.13129650623364045,ridge,2
cal_moy_sin,0.129951795595191,ridge,2
rng_close_position,0.12892420644240632,ridge,2
aux_splycur_chg_7,0.12752500657616186,ridge,2
cal_dow_sin,0.10500059662772869,ridge,2
xa_ref_ret_lag2,0.10322421066481373,ridge,2
px_ret_skew_63,0.09881397749243662,ridge,2
xa_rel_strength_30,0.09579595070215674,ridge,2
tech_bb_pos_20,0.08951865754993645,ridge,2
cal_is_weekend,0.08223940381248089,ridge,2
rng_atr_14_norm,0.07592786297912636,ridge,2
xa_market_ret_mean_5,0.07237269244786415,ridge,2
px_dist_max_63,0.07123374982978692,ridge,2
rng_parkinson_5,0.06985868222149211,ridge,2
xa_market_ret_lag1,0.06896706804651861,ridge,2
vol_zscore_21,0.06001164794098761,ridge,2
px_ret_skew_21,0.058664752199369,ridge,2
px_ret_kurt_21,0.05720633735445048,ridge,2
vol_log1p_quote_volume,0.056339580154805,ridge,2
xa_rank_ret_lag1,0.05090049729081609,ridge,2
px_ret_std_5,0.05047195881725497,ridge,2
px_ret_std_10,0.04863922898905828,ridge,2
px_cumret_30,0.04713547297885126,ridge,2
px_ret_3,0.04398832679903771,ridge,2
tech_obv_zscore_21,0.043280176244731995,ridge,2
cal_moy_cos,0.04253683166945504,ridge,2
vol_taker_buy_ratio_mean_7,0.04253435001374923,ridge,2
tech_rsi_14,0.040776003319964636,ridge,2
px_ret_10,0.037864743995047065,ridge,2
px_ret_mean_10,0.037864743995047065,ridge,2
aux_fng,0.03761677637824584,ridge,2
px_ret_std_63,0.036682717495017926,ridge,2
aux_txcnt_z63,0.03622355148714364,ridge,2
tech_stoch_d_14,0.03305353372558243,ridge,2
vol_taker_buy_ratio,0.031770884177727526,ridge,2
vol_taker_buy_ratio_dev,0.031770884177727436,ridge,2
px_ret_kurt_63,0.029632494108710848,ridge,2
xa_ref_ret_lag1,0.029601240490181265,ridge,2
px_cumret_7,0.02870804576854007,ridge,2
vol_ret_corr_21,0.02824809893485798,ridge,2
aux_splycur_z63,0.028114897001522032,ridge,2
px_dist_max_21,0.027609908449805726,ridge,2
aux_fng_z_63,0.02718463382028017,ridge,2
xa_rel_strength_7,0.026633821335164995,ridge,2
xa_ref_vol_21,0.026616772981649082,ridge,2
xa_corr_ref_30,0.026425141616887055,ridge,2
px_dist_min_63,0.026025233484186443,ridge,2
cal_dom_cos,0.025292118921054887,ridge,2
vol_log1p_volume,0.024500002108290897,ridge,2
px_ret_std_21,0.02410575096915632,ridge,2
vol_trades_zscore_21,0.024053036726535235,ridge,2
aux_txcnt_chg_7,0.022973605542535865,ridge,2
px_dist_min_21,0.022128658095009062,ridge,2
xa_corr_ref_90,0.02094471023726941,ridge,2
cal_dom_sin,0.020587651826484157,ridge,2
vol_qv_median_ratio_63,0.020287978002273797,ridge,2
aux_fng_chg_7,0.01721306657065258,ridge,2
tech_macd_line_norm,0.013864388673937685,ridge,2
tech_stoch_k_14,0.013497330778575874,ridge,2
tech_macd_signal_norm,0.012754352190763084,ridge,2
px_cumret_90,0.011062583405260704,ridge,2
aux_adractcnt_chg_7,0.010240367645683722,ridge,2
rng_tr_norm,0.009931070299688852,ridge,2
px_ret_mean_63,0.007813898847178724,ridge,2
xa_excess_ret_lag1,0.006416228994738726,ridge,2
rng_parkinson_21,0.0062060313810086715,ridge,2
px_ret_2,0.0054685750562971465,ridge,2
rng_intraday,0.0041951217547875515,ridge,2
rng_cc_parkinson_ratio_21,0.00400062022988207,ridge,2
px_ret_5,0.003583696055860707,ridge,2
px_ret_mean_5,0.003583696055860632,ridge,2
xa_market_dispersion,0.003015559985830476,ridge,2
px_ret_mean_21,0.002977679680774887,ridge,2
px_ret_21,0.0029776796807748592,ridge,2
rng_garman_klass_21,0.002194486035508102,ridge,2
aux_adractcnt_z63,0.0015901291902773573,ridge,2
xa_ref_ret_mean_5,0.0015205769131152631,ridge,2
tech_macd_hist_norm,0.0015191062503923654,ridge,2
cal_dow_cos,0.15387613099227826,ridge,3
rng_close_position,0.14662047146766494,ridge,3
px_ret_1,0.14505392299080716,ridge,3
rng_garman_klass_5,0.13251030732788474,ridge,3
cal_moy_sin,0.12926362531598004,ridge,3
aux_splycur_chg_7,0.12234825134132493,ridge,3
tech_bb_pos_20,0.11398513403802298,ridge,3
xa_ref_ret_lag2,0.10621486062779054,ridge,3
cal_dow_sin,0.10457196646396123,ridge,3
px_ret_skew_63,0.10048358553962332,ridge,3
xa_rel_strength_30,0.08693094132967963,ridge,3
px_dist_max_63,0.07586842234084322,ridge,3
rng_parkinson_5,0.07482861181950298,ridge,3
xa_market_ret_mean_5,0.07206340415365163,ridge,3
xa_market_ret_lag1,0.07112794986164574,ridge,3
cal_is_weekend,0.06800155193065817,ridge,3
rng_atr_14_norm,0.06602184349979336,ridge,3
vol_zscore_21,0.062459738114336444,ridge,3
px_ret_std_5,0.0620618181738381,ridge,3
px_ret_3,0.06058312010387447,ridge,3
vol_log1p_quote_volume,0.05968458462515828,ridge,3
vol_taker_buy_ratio_mean_7,0.05582349056541202,ridge,3
px_ret_std_63,0.05402327266838371,ridge,3
tech_stoch_d_14,0.05088137072596827,ridge,3
tech_rsi_14,0.05073323465211626,ridge,3
px_ret_skew_21,0.04983122783100536,ridge,3
px_ret_kurt_21,0.04795003085599501,ridge,3
px_cumret_30,0.045199816735459517,ridge,3
tech_obv_zscore_21,0.04392410395932544,ridge,3
cal_moy_cos,0.04365000366761424,ridge,3
aux_txcnt_z63,0.041726691459362746,ridge,3
aux_splycur_z63,0.04044054737857866,ridge,3
xa_rank_ret_lag1,0.03986968814362597,ridge,3
xa_rel_strength_7,0.039746498161037605,ridge,3
vol_trades_zscore_21,0.0361494849190807,ridge,3
xa_ref_vol_21,0.035293998730338005,ridge,3
vol_log1p_volume,0.035184197640318673,ridge,3
px_dist_max_21,0.03421574328194634,ridge,3
vol_qv_median_ratio_63,0.0339503633882323,ridge,3
vol_taker_buy_ratio_dev,0.033668310938177286,ridge,3
vol_taker_buy_ratio,0.033668310938177196,ridge,3
px_dist_min_21,0.031612640471825,ridge,3
xa_ref_ret_lag1,0.026869407768138776,ridge,3
aux_fng,0.024821983688349567,ridge,3
px_ret_std_10,0.02464212916241752,ridge,3
px_ret_std_21,0.024385487810096876,ridge,3
xa_market_dispersion,0.02416318197852154,ridge,3
px_ret_mean_10,0.02381313286028213,ridge,3
px_ret_10,0.023813132860282072,ridge,3
px_dist_min_63,0.022391902483364392,ridge,3
px_cumret_7,0.01876698288028347,ridge,3
px_ret_mean_21,0.017481324200402507,ridge,3
px_ret_21,0.01748132420040247,ridge,3
aux_adractcnt_z63,0.0171597959497892,ridge,3
xa_corr_ref_30,0.01636232892554164,ridge,3
px_ret_kurt_63,0.014795195363017627,ridge,3
xa_ref_ret_mean_5,0.01440838548996534,ridge,3
tech_stoch_k_14,0.011718696200560782,ridge,3
cal_dom_sin,0.011419597762494467,ridge,3
cal_dom_cos,0.011126833692098822,ridge,3
rng_parkinson_21,0.010477045380673688,ridge,3
vol_ret_corr_21,0.010055609589434905,ridge,3
rng_intraday,0.00846369896495059,ridge,3
tech_macd_line_norm,0.007821867397540358,ridge,3
tech_macd_hist_norm,0.007658010241531855,ridge,3
px_cumret_90,0.007286539148656795,ridge,3
rng_cc_parkinson_ratio_21,0.007208090162817296,ridge,3
tech_macd_signal_norm,0.00718167702090732,ridge,3
px_ret_2,0.00686081431782606,ridge,3
px_ret_5,0.00535412716015369,ridge,3
px_ret_mean_5,0.005354127160153661,ridge,3
xa_corr_ref_90,0.005197803190630736,ridge,3
xa_excess_ret_lag1,0.004654316230416264,ridge,3
aux_adractcnt_chg_7,0.004650420253263187,ridge,3
aux_fng_chg_7,0.004342296104599101,ridge,3
rng_tr_norm,0.0026155576650949584,ridge,3
px_ret_mean_63,0.002413711080873291,ridge,3
aux_fng_z_63,0.001544874623273332,ridge,3
aux_txcnt_chg_7,0.0008390478846855893,ridge,3
rng_garman_klass_21,5.594532605280236e-05,ridge,3
rng_close_position,0.07487066879822442,ridge,4
px_ret_1,0.06763090531790304,ridge,4
cal_dow_cos,0.05998127105204009,ridge,4
cal_moy_sin,0.05071451042790835,ridge,4
xa_market_ret_lag1,0.031755449214953095,ridge,4
cal_is_weekend,0.03042668452663571,ridge,4
aux_splycur_chg_7,0.02864506970699417,ridge,4
xa_ref_ret_lag1,0.02768885752063076,ridge,4
px_ret_kurt_63,0.027059294207889672,ridge,4
px_ret_skew_21,0.023799410911517375,ridge,4
px_ret_skew_63,0.022630740980720473,ridge,4
xa_rel_strength_30,0.022054906393171234,ridge,4
px_ret_3,0.019509282325157955,ridge,4
px_ret_kurt_21,0.019314467360592464,ridge,4
aux_txcnt_z63,0.01910758788266795,ridge,4
xa_corr_ref_90,0.01830898743890763,ridge,4
xa_rank_ret_lag1,0.017665750183796035,ridge,4
xa_ref_vol_21,0.016518598126371267,ridge,4
px_dist_max_63,0.015824767805232634,ridge,4
rng_garman_klass_5,0.015433465340520518,ridge,4
rng_atr_14_norm,0.01540702136273195,ridge,4
vol_qv_median_ratio_63,0.014859171971968883,ridge,4
xa_rel_strength_7,0.01460214853525086,ridge,4
aux_splycur_z63,0.013865875273505428,ridge,4
px_ret_2,0.013383326144611208,ridge,4
px_cumret_7,0.013194754545293487,ridge,4
xa_ref_ret_lag2,0.013138614348854142,ridge,4
rng_cc_parkinson_ratio_21,0.013054372208716197,ridge,4
px_ret_std_21,0.012606696322055216,ridge,4
vol_log1p_volume,0.012533192719131251,ridge,4
tech_bb_pos_20,0.012474215766256742,ridge,4
vol_taker_buy_ratio_mean_7,0.012332118658417436,ridge,4
tech_obv_zscore_21,0.011612243790353066,ridge,4
cal_dow_sin,0.011213662288957791,ridge,4
vol_zscore_21,0.01107483966721237,ridge,4
px_dist_max_21,0.010064214961020642,ridge,4
xa_excess_ret_lag1,0.009786969397537109,ridge,4
rng_parkinson_5,0.009499181543375125,ridge,4
px_ret_10,0.009485862595175865,ridge,4
px_ret_mean_10,0.009485862595175844,ridge,4
xa_corr_ref_30,0.009332182167136445,ridge,4
xa_ref_ret_mean_5,0.009213172384270989,ridge,4
xa_market_ret_mean_5,0.008954684091169719,ridge,4
tech_stoch_k_14,0.007820950498135616,ridge,4
px_ret_5,0.007595121508447859,ridge,4
px_ret_mean_5,0.0075951215084478566,ridge,4
tech_rsi_14,0.007355432644763904,ridge,4
cal_dom_sin,0.0072300877428134805,ridge,4
rng_parkinson_21,0.0071134763313000495,ridge,4
vol_trades_zscore_21,0.007006579290480693,ridge,4
vol_ret_corr_21,0.006917763278549324,ridge,4
px_dist_min_63,0.006903168386708196,ridge,4
aux_adractcnt_chg_7,0.005723056834821321,ridge,4
vol_log1p_quote_volume,0.005429249554821525,ridge,4
px_ret_std_63,0.005221484269561142,ridge,4
rng_garman_klass_21,0.004701135016009966,ridge,4
aux_fng,0.00449141627455167,ridge,4
aux_fng_chg_7,0.003813084859486661,ridge,4
rng_intraday,0.0036369856410087575,ridge,4
tech_macd_signal_norm,0.0035297090607543987,ridge,4
px_ret_std_5,0.003170733854877118,ridge,4
tech_macd_line_norm,0.003030005160904631,ridge,4
tech_macd_hist_norm,0.002713967032685309,ridge,4
aux_txcnt_chg_7,0.0020786431396454157,ridge,4
aux_adractcnt_z63,0.0020046293475064767,ridge,4
px_cumret_90,0.00180859217060587,ridge,4
px_ret_21,0.001746736201933145,ridge,4
px_ret_mean_21,0.0017467362019331382,ridge,4
px_cumret_30,0.0017460340011802434,ridge,4
cal_dom_cos,0.0015970104081079804,ridge,4
px_ret_std_10,0.0015715258382513568,ridge,4
tech_stoch_d_14,0.0011499080748119694,ridge,4
cal_moy_cos,0.0011405324114181063,ridge,4
vol_taker_buy_ratio,0.0011125366193214382,ridge,4
vol_taker_buy_ratio_dev,0.0011125366193214168,ridge,4
rng_tr_norm,0.0008189091772922578,ridge,4
px_dist_min_21,0.0006813585761414703,ridge,4
aux_fng_z_63,0.0004519485016651085,ridge,4
xa_market_dispersion,7.000705148479808e-05,ridge,4
px_ret_mean_63,2.5334861151139165e-05,ridge,4
rng_close_position,0.0876711096966217,ridge,5
px_ret_1,0.06805937651483444,ridge,5
cal_dow_cos,0.055821408114854046,ridge,5
cal_moy_sin,0.05213102438616931,ridge,5
xa_market_ret_lag1,0.03151216413241368,ridge,5
aux_splycur_chg_7,0.031233881366403444,ridge,5
px_ret_kurt_63,0.02767130535704193,ridge,5
xa_ref_ret_lag1,0.02758452095398006,ridge,5
px_ret_skew_21,0.02611923519901853,ridge,5
px_ret_skew_63,0.024427894410638307,ridge,5
cal_is_weekend,0.02416473446621817,ridge,5
cal_dow_sin,0.02221775254483423,ridge,5
xa_rel_strength_30,0.02161542511546919,ridge,5
aux_txcnt_z63,0.021339503502838086,ridge,5
xa_corr_ref_90,0.021061795837894238,ridge,5
px_ret_3,0.019422306861230365,ridge,5
xa_rel_strength_7,0.016500059652899225,ridge,5
vol_qv_median_ratio_63,0.01642366707741797,ridge,5
rng_garman_klass_5,0.016417369952120037,ridge,5
xa_ref_vol_21,0.016136052653580344,ridge,5
rng_cc_parkinson_ratio_21,0.015694104950490503,ridge,5
px_dist_max_63,0.015641802180529712,ridge,5
px_ret_kurt_21,0.01522191701131215,ridge,5
rng_atr_14_norm,0.015039321983536356,ridge,5
xa_ref_ret_lag2,0.014441423722541223,ridge,5
xa_rank_ret_lag1,0.01428281854053566,ridge,5
tech_stoch_k_14,0.013996520860563777,ridge,5
vol_log1p_volume,0.013264747692536246,ridge,5
vol_taker_buy_ratio_mean_7,0.013063085956557696,ridge,5
px_ret_2,0.012735440254973168,ridge,5
px_cumret_7,0.01220865042322725,ridge,5
px_ret_std_21,0.012133616458335751,ridge,5
tech_obv_zscore_21,0.011686131634955903,ridge,5
px_dist_max_21,0.011271086538401967,ridge,5
xa_excess_ret_lag1,0.011149588441128584,ridge,5
px_ret_10,0.011147427860319314,ridge,5
px_ret_mean_10,0.011147427860319303,ridge,5
tech_bb_pos_20,0.010608335293648376,ridge,5
vol_ret_corr_21,0.010424013439003081,ridge,5
cal_dom_sin,0.010375490435419746,ridge,5
xa_corr_ref_30,0.010150311651465186,ridge,5
rng_parkinson_5,0.009753157304324196,ridge,5
vol_log1p_quote_volume,0.00899449510793627,ridge,5
vol_zscore_21,0.008123272794357482,ridge,5
vol_trades_zscore_21,0.007926551739087804,ridge,5
px_ret_std_63,0.007868757555493083,ridge,5
px_dist_min_63,0.007686424911470669,ridge,5
xa_ref_ret_mean_5,0.007679800505689601,ridge,5
tech_rsi_14,0.007363469340951036,ridge,5
xa_market_ret_mean_5,0.007008597427152434,ridge,5
px_ret_5,0.00638616790168902,ridge,5
px_ret_mean_5,0.0063861679016890185,ridge,5
rng_parkinson_21,0.006342951932370123,ridge,5
xa_market_dispersion,0.0061318058970139845,ridge,5
aux_adractcnt_chg_7,0.005956944215450495,ridge,5
aux_fng_z_63,0.005580605592436076,ridge,5
cal_dom_cos,0.005347614456340165,ridge,5
aux_splycur_z63,0.004985874088062061,ridge,5
cal_moy_cos,0.004928700810189347,ridge,5
rng_garman_klass_21,0.003987319203992588,ridge,5
aux_txcnt_chg_7,0.003937770990820772,ridge,5
aux_fng,0.0038029591703446423,ridge,5
vol_taker_buy_ratio,0.0034543810689139504,ridge,5
vol_taker_buy_ratio_dev,0.003454381068913946,ridge,5
px_ret_std_5,0.0033405556171368514,ridge,5
aux_fng_chg_7,0.0032693525331116678,ridge,5
tech_macd_signal_norm,0.0032596205355416535,ridge,5
tech_macd_hist_norm,0.0030291232994855972,ridge,5
tech_macd_line_norm,0.0027996739848874194,ridge,5
rng_tr_norm,0.002780603406228014,ridge,5
px_cumret_30,0.002535732349116696,ridge,5
aux_adractcnt_z63,0.0022463537797637574,ridge,5
tech_stoch_d_14,0.002158543955760366,ridge,5
px_cumret_90,0.0019427412446513036,ridge,5
px_ret_std_10,0.0017133763219611266,ridge,5
px_ret_mean_63,0.0014954334964529822,ridge,5
rng_intraday,0.0011281023733825703,ridge,5
px_ret_21,0.0005665455715985093,ridge,5
px_ret_mean_21,0.000566545571598499,ridge,5
px_dist_min_21,0.0001086886762861486,ridge,5
rng_close_position,0.09747558502470102,ridge,6
px_ret_1,0.07460106267499388,ridge,6
cal_dow_cos,0.059278493309961024,ridge,6
cal_moy_sin,0.04104874827453366,ridge,6
xa_market_ret_lag1,0.039684158725823274,ridge,6
aux_splycur_chg_7,0.03960283571954702,ridge,6
xa_ref_ret_lag1,0.029463831495603814,ridge,6
px_ret_kurt_63,0.028359546697713442,ridge,6
px_ret_skew_21,0.02743330525939947,ridge,6
aux_txcnt_z63,0.025100758622083663,ridge,6
xa_rel_strength_30,0.024810585563622874,ridge,6
cal_dow_sin,0.02347339229467382,ridge,6
px_ret_skew_63,0.02333079623318987,ridge,6
cal_is_weekend,0.021502545229012023,ridge,6
tech_stoch_k_14,0.01947123841873035,ridge,6
px_ret_3,0.019073436480505714,ridge,6
xa_corr_ref_90,0.018597274602064676,ridge,6
rng_atr_14_norm,0.017523122845336674,ridge,6
rng_cc_parkinson_ratio_21,0.01747989439908272,ridge,6
xa_ref_ret_lag2,0.017450853546658568,ridge,6
vol_taker_buy_ratio_mean_7,0.01716609776857148,ridge,6
vol_qv_median_ratio_63,0.016498297003244244,ridge,6
vol_log1p_quote_volume,0.01567018021168481,ridge,6
px_dist_max_63,0.015057287727012533,ridge,6
px_ret_kurt_21,0.013981022857382942,ridge,6
xa_market_dispersion,0.013855297152299616,ridge,6
cal_moy_cos,0.013706626779777435,ridge,6
xa_rank_ret_lag1,0.013545519635125914,ridge,6
px_cumret_7,0.013489190116170256,ridge,6
xa_rel_strength_7,0.013210494088782667,ridge,6
rng_garman_klass_5,0.012973760007477486,ridge,6
px_ret_std_63,0.01275259121555975,ridge,6
cal_dom_cos,0.011875537404811657,ridge,6
px_ret_std_21,0.011713622787404189,ridge,6
px_ret_2,0.011619575621989932,ridge,6
aux_adractcnt_chg_7,0.009929982790733632,ridge,6
px_ret_10,0.009626023296714288,ridge,6
px_ret_mean_10,0.009626023296714283,ridge,6
xa_ref_vol_21,0.009452093946566324,ridge,6
aux_splycur_z63,0.009399366442322555,ridge,6
