model,cost_bps,run_type,total_return,annual_return,annual_vol,sharpe,sortino,max_drawdown,max_drawdown_days,max_drawdown_unrecovered,calmar,hit_rate,avg_win,avg_loss,win_loss_ratio,annual_turnover,n_periods,exposure
arima,0.0,strategy,-0.38641380335985953,-0.07150474922165884,0.6446881932153326,0.2120021250282322,0.3108589427167371,-0.9461632972188093,804.0,False,-0.07557337029648348,0.4819277108433735,0.04141086188353894,-0.036774881493959785,1.1260637750889995,0.6075738660008323,2403.0,0.3799417394923013
arima,5.0,strategy,-0.387021222134464,-0.07164442265103266,0.6446858323039718,0.21176729289653543,0.3105125249461242,-0.9461769632239128,804.0,False,-0.07571989747765398,0.4819277108433735,0.04141029370172075,-0.03677541227952242,1.1260320723794894,0.6075738660008323,2403.0,0.3799417394923013
arima,20.0,strategy,-0.3888407734122371,-0.07206352455078613,0.6446791024931569,0.21106267063729683,0.3094730107577474,-0.9462179612392233,804.0,False,-0.07615953987642282,0.4819277108433735,0.04140858915626621,-0.036777004636210316,1.125936969741567,0.6075738660008323,2403.0,0.3799417394923013
arima,,buy_and_hold,17.812878219435774,0.5616417993983915,0.7405859594766095,0.9817778793167624,1.395617591627961,-0.8296687242272882,1105.0,False,0.6769470548880536,0.5255930087390761,0.02759091339052212,-0.026368838392533976,1.0463454240871741,0.2278401997503121,2403.0,1.0
historical_mean,0.0,strategy,9.983161492056242,0.4390626047022088,0.6653173645257453,0.8909658352488221,1.2472218281521554,-0.7459478697507087,822.0,True,0.5885969013477321,0.5131524008350731,0.02468462272957595,-0.02267138105379853,1.0888010161798285,53.593078096823426,2403.0,0.9966708281315023
historical_mean,5.0,strategy,9.053820592369055,0.4198666223326377,0.665360329292929,0.8707714397125496,1.2182365436841787,-0.746226682850964,822.0,True,0.5626529203278211,0.5127348643006263,0.024670919397554832,-0.022691539269589465,1.0872298747321243,53.593078096823426,2403.0,0.9966708281315023
historical_mean,20.0,strategy,6.710592728184168,0.3637753476143524,0.6655132295212174,0.8101746732838049,1.1314586243007314,-0.7470620821162641,822.0,True,0.4869412547132041,0.5102296450939457,0.024691868572848188,-0.022695418331998344,1.0879671047100745,53.593078096823426,2403.0,0.9966708281315023
historical_mean,,buy_and_hold,17.812878219435774,0.5616417993983915,0.7405859594766095,0.9817778793167624,1.395617591627961,-0.8296687242272882,1105.0,False,0.6769470548880536,0.5255930087390761,0.02759091339052212,-0.026368838392533976,1.0463454240871741,0.2278401997503121,2403.0,1.0
lightgbm,0.0,strategy,0.7200294504896161,0.0858663170066507,0.608001478053383,0.4385309143604211,0.638514229601505,-0.779305062879031,2137.0,True,0.11018318896765522,0.5256014805675508,0.026618042849858838,-0.02720834108437936,0.9783045121093612,323.3558746011929,2403.0,0.6745734498543488
lightgbm,5.0,strategy,0.010320665386914118,0.0015608241421958269,0.6078816778282496,0.3056326292259656,0.44272565953682075,-0.813655008358154,2137.0,True,0.0019182873898181483,0.5225169648365207,0.02648906976920407,-0.027302444720487314,0.9702087135562296,323.3558746011929,2403.0,0.6745734498543488
