model,vs_baseline,loss,dm_statistic,p_value,mean_loss_diff,better,n_obs,note
egarch11,vol_ewma,qlike,6.1262062551563385,9.47320300466849e-10,0.12440818879748831,b,7209,
egarch11_mz,vol_ewma,qlike,6.636502591129473,3.4451186098887285e-11,0.14374779167876747,b,7209,
garch11,vol_ewma,qlike,7.195225120876543,6.864550885761218e-13,0.1341648891803922,b,7209,
garch11_mz,vol_ewma,qlike,7.27874759555446,3.7255919667784023e-13,0.1315290676763426,b,7209,
vol_climatology,vol_ewma,qlike,10.283586332005637,1.2358620243862361e-24,0.3723621863936565,b,7209,
vol_persistence,vol_ewma,qlike,11.912489501524567,2.0500122874137035e-32,0.5056926955449402,b,7209,
vol_trailing_mean,vol_ewma,qlike,5.920339258263212,3.3602211553241432e-09,0.08989382965392433,b,7209,
